"Priority","ID","Business Name","Industry","City","Website Status"
"98","644","Stomach House","hotels_hospitality","Mumbai","No"
"97","46","Royal Enfield Aaditya Riders Yavatmal","automotive","Yavatmal","No"
"97","142","Bottles","hotels_hospitality","Mumbai","No"
"97","219","Unique Hair and Beauty Salon","local_services","Mumbai","No"
"97","264","The Tanjore Tiffin Room, Andheri","hotels_hospitality","Mumbai","No"
"97","351","Staycation India","hotels_hospitality","Mumbai","No"
"97","391","China ka khana","hotels_hospitality","Mumbai","No"
"97","435","Visible Changes Hair and Beauty Lounge","local_services","Mumbai","No"
"97","523","Chin Chin Chu","hotels_hospitality","Mumbai","No"
"97","571","Yeda Republic","hotels_hospitality","Mumbai","No"
"96","143","Nomadic Noms Cafe","hotels_hospitality","Mumbai","No"
"96","216","Kismat Konnection Kafe & Studio","education_coaching","Mumbai","No"
"96","251","Malwani Kkalwan","hotels_hospitality","Mumbai","No"
"96","293","Nukkad Bhukkad Ghummakad","hotels_hospitality","Mumbai","No"
"96","349","Empowerment Academy Of Martial Arts","education_coaching","Mumbai","No"
"96","495","Punjab Da Chulah","hotels_hospitality","Mumbai","No"
"96","498","Sparkling Minds","education_coaching","Mumbai","No"
"96","560","Thomas Hair and Beauty Salon","local_services","Mumbai","No"
"96","578","Yellow Brick Way","education_coaching","Mumbai","No"
"96","643","Balaji Beach Snack","hotels_hospitality","Mumbai","No"
"96","760","Elegant Banquets Juhu","hotels_hospitality","Mumbai","No"
"96","784","KRS Academy","education_coaching","Mumbai","No"
"96","797","The Global Cut's Salon","local_services","Mumbai","No"
"96","819","Saiba Vinit Dance Academy","education_coaching","Mumbai","No"
"96","822","NiuKai.Studio","local_services","Mumbai","No"
"96","849","Ahmed Eggs Merchant","hotels_hospitality","Mumbai","No"
"96","896","Excellence Therapy Centre","education_coaching","Mumbai","No"
"95","42","Village Farm Garden Restaurant","hotels_hospitality","Yavatmal","No"
"95","55","RajShri Tyres & Services PVT LTD","automotive","Yavatmal","No"
"95","134","The Ace Studio","education_coaching","Mumbai","No"
"95","366","Satyam Laptop Service","professional_services","Mumbai","No"
"95","454","Level-up hair studio","local_services","Mumbai","No"
"95","456","Miniland Playgroup Nursery","education_coaching","Mumbai","Yes"
"95","583","pilates.academy.juhu","education_coaching","Mumbai","No"
"95","936","Muze Mumbai","hotels_hospitality","Mumbai","No"
"94","5","Dhanlaxmi Company","professional_services","Yavatmal","No"
"94","22","VPMR Education Academy","education_coaching","Yavatmal","No"
"94","92","VT Builders and Developers","real_estate","Yavatmal","No"
"94","123","Blue heart cafe and restaurant","hotels_hospitality","Mumbai","No"
"94","224","Sharma Dairy Farm","hotels_hospitality","Mumbai","No"
"94","268","Thorat's Baarbeque Misal","hotels_hospitality","Mumbai","No"
"94","271","Four Bungalow","hotels_hospitality","Mumbai","No"
"94","429","Till Next Time","hotels_hospitality","Mumbai","No"
"94","442","ShalzRox","local_services","Mumbai","No"
"94","499","Nambiar's Kerala Kitchen","hotels_hospitality","Mumbai","No"
"94","514","Dejado Salon","local_services","Mumbai","No"
"94","591","Holiday Inn","hotels_hospitality","Mumbai","No"
"94","605","High Energy Bar","hotels_hospitality","Mumbai","No"
"94","723","Karthik Fast Food","hotels_hospitality","Mumbai","No"
"94","796","R K International","hotels_hospitality","Mumbai","No"
"94","993","Rizvi College of Hotel Management","education_coaching","Mumbai","Yes"
"93","24","Tripti's Beauty Salon","local_services","Yavatmal","No"
"93","64","Mahesh Sales Corporation Joy e-Bike","automotive","Yavatmal","No"
"93","114","Chinthai Restaurant","hotels_hospitality","Mumbai","No"
"93","185","Rinisha Salon","education_coaching","Mumbai","No"
"93","197","Suyash Classes","education_coaching","Mumbai","No"
"93","235","MEET AGRO Trading Services","professional_services","Mumbai","No"
"93","255","Lazeez Darbar","hotels_hospitality","Mumbai","No"
"93","261","Pal clothe Store","local_services","Mumbai","No"
"93","266","Moets 11.11","hotels_hospitality","Mumbai","No"
"93","358","One Fry Day","hotels_hospitality","Mumbai","No"
"93","393","A.R.motor works","local_services","Mumbai","No"
"93","395","What's in the Naan?","hotels_hospitality","Mumbai","No"
"93","412","The Stomach","hotels_hospitality","Mumbai","No"
"93","601","Hair Affair by Zarah","local_services","Mumbai","No"
"93","708","Dhanlaxmi Kalakatta, Juhu Beach","hotels_hospitality","Mumbai","No"
"93","745","Suresh Wadkar's Ajivasan Music","education_coaching","Mumbai","Yes"
"93","777","Freeman & Baker","hotels_hospitality","Mumbai","No"
"93","800","Bivekjjj-10 official","hotels_hospitality","Mumbai","No"
"93","803","Tawa House","hotels_hospitality","Mumbai","No"
"93","861","Paramjit Auto Works","professional_services","Mumbai","No"
"92","93","Podar Prep - Near Darda Nagar Ytl","education_coaching","Yavatmal","Yes"
"92","122","The Berliner Bar","hotels_hospitality","Mumbai","No"
"92","313","United India Construction Co","local_services","Mumbai","No"
"92","338","Hot Box","hotels_hospitality","Mumbai","No"
"92","409","Star One Pizza","hotels_hospitality","Mumbai","No"
"92","417","Laxmi Tutorials","education_coaching","Mumbai","No"
"92","424","R N Shah International School","education_coaching","Mumbai","Yes"
"92","448","POMidOR PIZZERIA Juhu","hotels_hospitality","Mumbai","No"
"92","470","Dakshinya School","education_coaching","Mumbai","Yes"
"92","515","Harsh salon & academy","education_coaching","Mumbai","Yes"
"92","624","Sukh Hotel","hotels_hospitality","Mumbai","Yes"
"92","656","Hotel Beach Crown","hotels_hospitality","Mumbai","Yes"
"92","747","Bloom Hotel Juhu","hotels_hospitality","Mumbai","No"
"92","752","Estella","hotels_hospitality","Mumbai","Yes"
"92","801","Shree Sai Motors","local_services","Mumbai","No"
"92","810","Windstream Wireless Broadband","professional_services","Mumbai","No"
"92","900","Early Childhood Learning Centre","education_coaching","Mumbai","Yes"
"92","921","Doner Don","hotels_hospitality","Mumbai","No"
"92","958","Rizvi College of Education","education_coaching","Mumbai","Yes"
"91","57","Government Polytechnic Yavatmal","education_coaching","Yavatmal","Yes"
"91","68","hotel shivgad","hotels_hospitality","Yavatmal","No"
"91","87","Avenue The Unisex Salon","local_services","Yavatmal","No"
"91","111","lil wonders fun school","education_coaching","Mumbai","Yes"
"91","148","Style Bar Salon","local_services","Mumbai","No"
"91","157","MTS Clinic","local_services","Mumbai","No"
"91","262","Coral Salon & Academy","education_coaching","Mumbai","No"
"91","269","Royal Sindh","hotels_hospitality","Mumbai","No"
"91","326","Neebal Gurukul","education_coaching","Mumbai","Yes"
"91","329","Urban Tadka Versova","hotels_hospitality","Mumbai","No"
